구분,DIA,출근시간,1차 출발시각,1차 출발역,1차기운영,1차 도착시각,1차 도착역,2차 출발시각,2차 출발역,2차기운영,2차 도착시각,2차 도착역,3차 출발시간,3차 출발역,3차기운영,3차 도착시간,3차 도착역,4차 출발시간,4차 출발역,4차기운영,4차 도착시간,4차 도착역,5차 출발시간,5차 출발역,5차기운영,5차 도착시간,5차 도착역,6차 출발시간,6차 출발역,6차기운영,6차 도착시간,6차 도착역,퇴근시간,,계,운전시간,대기시간,편승시간,감시시간,준비시간,정리시간,심야시간
평일,21,,8:02,답십,5547,9:06,답십,11:30,답십,5077,11:59,하풍,12:13,하풍,5100,12:41,답십,13:13,답십,5615,16:20,답십,,,,,,,,,,,16:51,,9:18,5:24,2:54,0:00,0:00,0:30,0:30,0:00
평일,22,,8:02,답십,5040,10:48,마천,11:11,상일,1031,11:16,고기,17:53,고기,1070,18:20,답십,,,,,,,,,,,,,,,,18:51,,10:41,3:41,4:00,0:00,0:00,1:30,1:30,0:00
평일,23,,8:04,답십,5530,8:42,영구,13:19,답십,5095,13:47,하풍,14:14,하풍,5120,16:50,답십,,,,,,,,,,,,,,,,17:21,,9:05,4:09,3:56,0:00,0:00,0:30,0:30,0:00
평일,24,,8:10,답십,5549,8:43,마천,9:09,상일,1007,9:14,고기,13:38,답십,5619,16:44,답십,,,,,,,,,,,,,,,,17:15,,9:34,4:10,2:34,0:50,0:00,0:30,1:30,0:00
평일,25,,8:07,답십,5042,10:48,하풍,11:00,하풍,5088,11:26,답십,17:13,고기,1060,17:18,상일,17:34,강동,5661,18:24,답십,,,,,,,,,,,18:55,,11:16,4:33,3:53,0:50,0:00,1:30,0:30,0:00
평일,26,,8:09,답십,5532,8:47,영구,9:43,영구,5552,11:47,하풍,12:01,하풍,5098,12:29,답십,16:03,답십,5622,18:13,답십,,,,,,,,,,,18:43,,10:34,5:34,4:00,0:00,0:00,0:30,0:30,0:00
평일,27,,8:12,답십,5044,11:22,답십,13:44,답십,5099,14:12,하풍,14:38,하풍,5124,15:06,답십,16:45,답십,5129,17:13,하풍,17:26,상일,1035,17:33,고기,,,,,,18:33,,10:50,5:21,3:59,0:00,0:00,0:30,1:00,0:00
평일,28,,8:17,답십,5551,11:30,답십,16:54,고기,1056,17:57,영구,18:15,영구,5155,18:51,답십,,,,,,,,,,,,,,,,19:22,,11:34,4:52,3:52,0:50,0:00,1:30,0:30,0:00
평일,29,,8:20,답십,5031,8:48,고기,14:25,답십,5605,17:01,하풍,17:13,하풍,5150,17:41,답십,,,,,,,,,,,,,,,,18:12,,10:21,3:44,3:47,0:50,0:00,0:30,1:30,0:00
평일,30,,8:19,답십,5536,8:57,영구,10:24,영구,5560,11:59,답십,16:34,답십,5138,18:44,답십,,,,,,,,,,,,,,,,19:15,,9:25,4:25,4:00,0:00,0:00,0:30,0:30,0:00
평일,31,,8:22,답십,5048,8:59,영구,10:35,영구,5562,13:11,답십,16:58,답십,5142,19:09,답십,,,,,,,,,,,,,,,,19:39,,10:25,5:25,4:00,0:00,0:00,0:30,0:30,0:00
평일,32,,8:29,답십,5555,9:03,마천,9:25,상일,1011,9:30,고기,17:42,답십,5150,18:17,영구,18:36,영구,5161,19:12,답십,,,,,,,,,,,19:42,,7:32,2:12,2:30,0:50,0:00,0:30,1:30,0:00
평일,33,,8:32,답십,5035,9:00,고기,16:22,답십,5136,19:00,하풍,19:09,하풍,5178,19:38,답십,,,,,,,,,,,,,,,,20:08,,10:33,3:43,4:00,0:50,0:00,0:30,1:30,0:00
평일,34,,8:29,답십,5540,9:07,영구,11:04,영구,5078,12:36,답십,17:10,답십,5144,19:19,답십,,,,,,,,,,,,,,,,19:49,,9:20,4:20,4:00,0:00,0:00,0:30,0:30,0:00
